cmake 3.31.10
features core
header-only.patch 3e9b11932d1579c80949337cec84e668534d773492204d1205a16f8633d447f3
portfile.cmake 2c37f448afcf18d7fc7e82786c1305983bc6528f82b61c3dd3c1f8f240d8e98a
ports.cmake f4cc0e4d312b743fcb1e9b680c66d17bb556996dc267dc1301eac9037608a378
post_build_checks 2
powershell 7.5.4
sbom_info 1
triplet x64-windows
triplet_abi 4556164a2cd3dd6f4742101eabb46def7e71b6e5856faa88e5d005aac12a803c-1d3d767ab10b488977977b83f6c2da7e06afd80b1e375a2a41c60c343e7b3f94-ddd3a1398a1f59b2e327f21b276e2ebbb765c426
vcpkg-cmake e6d0ef40cff1c36b5617065c1858d1f88198f326bcd99358dc051095925b446e
vcpkg-cmake-config 13c4577ba6fefc4291c2d770842a80253defa33c26c46937ea654cf926db3483
vcpkg.json cb3f1cee24193a0d7e9e920768d2e34cdaee2e90914b26fcf23a77b33357720f
vcpkg_fixup_pkgconfig 1a15f6c6d8e2b244d83a7514a0412d339127d2217d1df60ad1388b546c85f777
vcpkg_from_git 460eafee5849bf3eee8cb89337a4ff8ed5461026b0becfb3f1f7d11a00cdc6f0
vcpkg_from_github 1284881728e98a182fc63e841be04e39b8c94753fdc361603c72a63c1adcf846
vcpkg_install_copyright ba6c169ab4e59fa05682e530cdeb883767de22c8391f023d4e6844a7ec5dd3d2
